{'name': 'АльфредАлексей3', 'sex': 'female', 'class_study': 11, 'point_study': 8}
{'name': 'АллаАртем11', 'sex': 'male', 'class_study': 10, 'point_study': 7}
{'name': 'АнатолийАриадна4', 'sex': 'male', 'class_study': 10, 'point_study': 8}
{'name': 'АлисаАлена7', 'sex': 'male', 'class_study': 10, 'point_study': 4}
{'name': 'АнжелаАгата2', 'sex': 'female', 'class_study': 10, 'point_study': 10}
{'name': 'АгатаАнна3', 'sex': 'female', 'class_study': 11, 'point_study': 8}
{'name': 'АленаАполлинарий13', 'sex': 'female', 'class_study': 10, 'point_study': 10}
{'name': 'АнфисаАнтон8', 'sex': 'female', 'class_study': 11, 'point_study': 9}
{'name': 'АвгустинАдонис13', 'sex': 'female', 'class_study': 11, 'point_study': 6}
{'name': 'АнисийАнтонина7', 'sex': 'male', 'class_study': 10, 'point_study': 7}
{'name': 'АдонисАвгустин10', 'sex': 'male', 'class_study': 11, 'point_study': 10}
{'name': 'АвгустинАртемий4', 'sex': 'male', 'class_study': 11, 'point_study': 6}
{'name': 'АнисийАлина3', 'sex': 'male', 'class_study': 10, 'point_study': 6}
{'name': 'АлевтинаАнфиса6', 'sex': 'male', 'class_study': 11, 'point_study': 6}
{'name': 'АртемАгния13', 'sex': 'female', 'class_study': 10, 'point_study': 4}
{'name': 'АристархАльфия9', 'sex': 'male', 'class_study': 11, 'point_study': 7}
{'name': 'АркадийАнастасия6', 'sex': 'female', 'class_study': 10, 'point_study': 9}
{'name': 'АсяАгафон7', 'sex': 'male', 'class_study': 11, 'point_study': 9}
{'name': 'АлисаАнастасий5', 'sex': 'male', 'class_study': 10, 'point_study': 8}
{'name': 'АгнессаАнна2', 'sex': 'male', 'class_study': 11, 'point_study': 6}
{'name': 'АнжеликаАркадий12', 'sex': 'male', 'class_study': 11, 'point_study': 8}
{'name': 'АльбертАнжела7', 'sex': 'female', 'class_study': 10, 'point_study': 8}
{'name': 'АлинаАнфиса13', 'sex': 'female', 'class_study': 10, 'point_study': 8}
{'name': 'АнастасияАвраам5', 'sex': 'male', 'class_study': 10, 'point_study': 3}
{'name': 'АлсуАся3', 'sex': 'male', 'class_study': 11, 'point_study': 7}
{'name': 'АндрейАлександра8', 'sex': 'male', 'class_study': 11, 'point_study': 9}
{'name': 'АлевтинаАгнесса6', 'sex': 'female', 'class_study': 10, 'point_study': 8}
{'name': 'АдонисАлина13', 'sex': 'male', 'class_study': 10, 'point_study': 7}
{'name': 'АвраамАнфиса8', 'sex': 'female', 'class_study': 10, 'point_study': 9}
{'name': 'АлинаАнастасия6', 'sex': 'female', 'class_study': 11, 'point_study': 7}
{'name': 'АвгустинАнастасия9', 'sex': 'male', 'class_study': 10, 'point_study': 6}
{'name': 'АлинаАнисий11', 'sex': 'female', 'class_study': 10, 'point_study': 8}
{'name': 'АгафонАнастасия4', 'sex': 'female', 'class_study': 11, 'point_study': 8}
{'name': 'АндрейАристарх4', 'sex': 'male', 'class_study': 11, 'point_study': 7}
{'name': 'АнисийАлександр5', 'sex': 'female', 'class_study': 11, 'point_study': 6}
{'name': 'АртурАнжелика5', 'sex': 'female', 'class_study': 10, 'point_study': 10}
{'name': 'АсяАльфия2', 'sex': 'male', 'class_study': 11, 'point_study': 6}
{'name': 'АгатаАрхип11', 'sex': 'female', 'class_study': 11, 'point_study': 7}
{'name': 'АврораАвгуст9', 'sex': 'female', 'class_study': 11, 'point_study': 8}
{'name': 'АристархАкайо13', 'sex': 'female', 'class_study': 10, 'point_study': 7}
{'name': 'АринаАртур6', 'sex': 'female', 'class_study': 10, 'point_study': 9}
{'name': 'АртемАделина11', 'sex': 'male', 'class_study': 10, 'point_study': 6}
{'name': 'АнфисаАлександра8', 'sex': 'female', 'class_study': 10, 'point_study': 9}
{'name': 'АнастасияАвраам4', 'sex': 'male', 'class_study': 10, 'point_study': 7}
{'name': 'АрсенАнтон4', 'sex': 'male', 'class_study': 10, 'point_study': 5}
{'name': 'АльбертАся10', 'sex': 'male', 'class_study': 11, 'point_study': 7}
{'name': 'АделинаАндрей2', 'sex': 'male', 'class_study': 10, 'point_study': 3}
{'name': 'АнгелинаАлла8', 'sex': 'female', 'class_study': 11, 'point_study': 9}
{'name': 'АгафонАртем7', 'sex': 'female', 'class_study': 11, 'point_study': 7}
{'name': 'АгнияАкулина11', 'sex': 'female', 'class_study': 11, 'point_study': 6}
{'name': 'АвраамАвраам4', 'sex': 'female', 'class_study': 10, 'point_study': 6}
{'name': 'АрхипАся10', 'sex': 'female', 'class_study': 10, 'point_study': 6}
{'name': 'АлексейАнна6', 'sex': 'female', 'class_study': 10, 'point_study': 9}
{'name': 'АлексейАся3', 'sex': 'female', 'class_study': 11, 'point_study': 4}
{'name': 'АнтонинаАльфред4', 'sex': 'male', 'class_study': 11, 'point_study': 8}
{'name': 'АкайоАлександр3', 'sex': 'female', 'class_study': 11, 'point_study': 10}
{'name': 'АнастасияАнгелина3', 'sex': 'male', 'class_study': 10, 'point_study': 10}
{'name': 'АртемАвгуст7', 'sex': 'female', 'class_study': 10, 'point_study': 3}
{'name': 'АлевтинаАврора9', 'sex': 'female', 'class_study': 10, 'point_study': 8}
{'name': 'АнгелинаАндрей7', 'sex': 'male', 'class_study': 10, 'point_study': 7}
{'name': 'АлевтинаАгнесса9', 'sex': 'male', 'class_study': 11, 'point_study': 5}
{'name': 'АрсенийАлевтина6', 'sex': 'male', 'class_study': 11, 'point_study': 8}
{'name': 'АлексейАся1', 'sex': 'male', 'class_study': 10, 'point_study': 9}
{'name': 'АкайоАлиса8', 'sex': 'male', 'class_study': 11, 'point_study': 6}
{'name': 'АнастасияАнжела2', 'sex': 'male', 'class_study': 10, 'point_study': 7}
{'name': 'АнастасияАлиса5', 'sex': 'male', 'class_study': 10, 'point_study': 10}
{'name': 'АнжелаАнастасия9', 'sex': 'female', 'class_study': 11, 'point_study': 8}
{'name': 'АннаАврора5', 'sex': 'male', 'class_study': 10, 'point_study': 9}
{'name': 'АгафонАльфия13', 'sex': 'male', 'class_study': 11, 'point_study': 9}
{'name': 'АнтонинаАлла11', 'sex': 'male', 'class_study': 11, 'point_study': 7}
{'name': 'АнтонАнтон12', 'sex': 'male', 'class_study': 10, 'point_study': 8}
{'name': 'АгнессаАрсен13', 'sex': 'male', 'class_study': 10, 'point_study': 8}
{'name': 'АланАлевтина12', 'sex': 'male', 'class_study': 11, 'point_study': 9}
{'name': 'АнисийАгнесса1', 'sex': 'female', 'class_study': 10, 'point_study': 6}
{'name': 'АнастасияАвгуст8', 'sex': 'female', 'class_study': 11, 'point_study': 10}
{'name': 'АкулинаАделаида9', 'sex': 'male', 'class_study': 10, 'point_study': 5}
{'name': 'АнтонинаАполлинарий7', 'sex': 'male', 'class_study': 10, 'point_study': 6}
{'name': 'АмалияАнна13', 'sex': 'female', 'class_study': 11, 'point_study': 6}
{'name': 'АркадийАделаида13', 'sex': 'female', 'class_study': 11, 'point_study': 9}
{'name': 'АделинаАделина10', 'sex': 'female', 'class_study': 11, 'point_study': 8}
{'name': 'АрхипАнгелина12', 'sex': 'female', 'class_study': 10, 'point_study': 8}
{'name': 'АкайоАлександр9', 'sex': 'male', 'class_study': 10, 'point_study': 8}
{'name': 'АсяАриадна10', 'sex': 'female', 'class_study': 10, 'point_study': 8}
{'name': 'АнгелинаАлексей7', 'sex': 'female', 'class_study': 10, 'point_study': 6}
{'name': 'АртемАмелия5', 'sex': 'female', 'class_study': 11, 'point_study': 7}
{'name': 'АленаАльфия12', 'sex': 'female', 'class_study': 10, 'point_study': 7}
{'name': 'АврораАделаида3', 'sex': 'male', 'class_study': 10, 'point_study': 6}
{'name': 'АртурАнтон7', 'sex': 'female', 'class_study': 10, 'point_study': 6}
{'name': 'АленаАда4', 'sex': 'male', 'class_study': 11, 'point_study': 8}
{'name': 'АлсуАнжела1', 'sex': 'female', 'class_study': 10, 'point_study': 5}
{'name': 'АрсенАнна11', 'sex': 'male', 'class_study': 10, 'point_study': 8}
{'name': 'АльбертАрина6', 'sex': 'male', 'class_study': 11, 'point_study': 10}
{'name': 'АндрейАрхип3', 'sex': 'male', 'class_study': 10, 'point_study': 8}
{'name': 'АристархАрсений10', 'sex': 'female', 'class_study': 10, 'point_study': 7}
{'name': 'АнтонАнастасий1', 'sex': 'male', 'class_study': 11, 'point_study': 8}
{'name': 'АсяАлексей5', 'sex': 'male', 'class_study': 10, 'point_study': 8}
{'name': 'АлександрАдонис2', 'sex': 'male', 'class_study': 10, 'point_study': 9}
{'name': 'АленаАртур11', 'sex': 'male', 'class_study': 11, 'point_study': 8}
{'name': 'АртемАгнесса9', 'sex': 'male', 'class_study': 10, 'point_study': 8}
{'name': 'АгнессаАмалия4', 'sex': 'female', 'class_study': 11, 'point_study': 7}
{'name': 'АлисаАльбина13', 'sex': 'male', 'class_study': 11, 'point_study': 7}
{'name': 'АнжеликаАврора4', 'sex': 'female', 'class_study': 11, 'point_study': 9}
{'name': 'АльбинаАвгуст12', 'sex': 'male', 'class_study': 10, 'point_study': 4}
{'name': 'АдонисАнтонина2', 'sex': 'female', 'class_study': 11, 'point_study': 6}
{'name': 'АгатаАмалия6', 'sex': 'male', 'class_study': 10, 'point_study': 9}
{'name': 'АполлинарийАделина4', 'sex': 'male', 'class_study': 10, 'point_study': 9}
{'name': 'АгнияАнжелика8', 'sex': 'female', 'class_study': 10, 'point_study': 9}
{'name': 'АгнияАвгуст10', 'sex': 'male', 'class_study': 11, 'point_study': 5}
{'name': 'АллаАнастасия3', 'sex': 'female', 'class_study': 10, 'point_study': 9}
{'name': 'АполлонАлиса8', 'sex': 'male', 'class_study': 11, 'point_study': 9}
{'name': 'АлсуАся3', 'sex': 'female', 'class_study': 11, 'point_study': 8}
{'name': 'АнастасияАда13', 'sex': 'female', 'class_study': 10, 'point_study': 7}
{'name': 'АнатолийАнтонина6', 'sex': 'female', 'class_study': 11, 'point_study': 4}
{'name': 'АлександраАвгуст9', 'sex': 'male', 'class_study': 11, 'point_study': 9}
{'name': 'АполлонАлиса5', 'sex': 'female', 'class_study': 10, 'point_study': 7}
{'name': 'АльфияАдонис1', 'sex': 'female', 'class_study': 11, 'point_study': 4}
{'name': 'АсяАндрей5', 'sex': 'male', 'class_study': 11, 'point_study': 7}
{'name': 'АдаАнна8', 'sex': 'male', 'class_study': 11, 'point_study': 6}
{'name': 'АнатолийАлан2', 'sex': 'male', 'class_study': 10, 'point_study': 8}
{'name': 'АриаднаАлена4', 'sex': 'male', 'class_study': 10, 'point_study': 5}
{'name': 'АндрейАриадна8', 'sex': 'female', 'class_study': 11, 'point_study': 6}
{'name': 'АллаАлла11', 'sex': 'female', 'class_study': 11, 'point_study': 6}
{'name': 'АлексейАгата11', 'sex': 'female', 'class_study': 10, 'point_study': 8}
{'name': 'АвраамАвраам3', 'sex': 'male', 'class_study': 11, 'point_study': 3}
{'name': 'АгнессаАнтон2', 'sex': 'female', 'class_study': 10, 'point_study': 7}
{'name': 'АнгелинаАлександра1', 'sex': 'female', 'class_study': 10, 'point_study': 4}
{'name': 'АделинаАлла7', 'sex': 'female', 'class_study': 11, 'point_study': 8}
{'name': 'АврораАнастасия11', 'sex': 'male', 'class_study': 10, 'point_study': 4}
{'name': 'АгнессаАвгустин7', 'sex': 'female', 'class_study': 11, 'point_study': 6}
{'name': 'АленаАнисий4', 'sex': 'male', 'class_study': 10, 'point_study': 7}
{'name': 'АмалияАврора2', 'sex': 'male', 'class_study': 11, 'point_study': 9}
{'name': 'АллаАполлинарий13', 'sex': 'female', 'class_study': 10, 'point_study': 6}
{'name': 'АланАрина7', 'sex': 'female', 'class_study': 10, 'point_study': 4}
{'name': 'АнтонинаАнфиса5', 'sex': 'female', 'class_study': 10, 'point_study': 7}
{'name': 'АлинаАполлинарий13', 'sex': 'female', 'class_study': 11, 'point_study': 7}
{'name': 'АристархАльфред2', 'sex': 'female', 'class_study': 11, 'point_study': 8}
{'name': 'АртемАлексей13', 'sex': 'male', 'class_study': 11, 'point_study': 7}
{'name': 'АленаАртемий3', 'sex': 'female', 'class_study': 10, 'point_study': 6}
{'name': 'АристархАлександр3', 'sex': 'female', 'class_study': 10, 'point_study': 7}
{'name': 'АкулинаАнна9', 'sex': 'female', 'class_study': 11, 'point_study': 6}
{'name': 'АннаАристарх5', 'sex': 'female', 'class_study': 10, 'point_study': 7}
{'name': 'АгнияАнастасий1', 'sex': 'female', 'class_study': 11, 'point_study': 8}
{'name': 'АгнессаАгния3', 'sex': 'female', 'class_study': 11, 'point_study': 6}
{'name': 'АкулинаАльфред3', 'sex': 'male', 'class_study': 11, 'point_study': 7}
{'name': 'АнгелинаАлсу3', 'sex': 'male', 'class_study': 10, 'point_study': 7}
{'name': 'АланАлексей6', 'sex': 'male', 'class_study': 10, 'point_study': 4}
{'name': 'АвгустАгния3', 'sex': 'female', 'class_study': 10, 'point_study': 6}
{'name': 'АльфияАнфиса2', 'sex': 'female', 'class_study': 11, 'point_study': 4}
{'name': 'АрсенийАда13', 'sex': 'female', 'class_study': 11, 'point_study': 9}
{'name': 'АриаднаАльфия12', 'sex': 'male', 'class_study': 10, 'point_study': 8}
{'name': 'АнгелинаАльбина2', 'sex': 'male', 'class_study': 10, 'point_study': 7}
{'name': 'АрсенийАделаида8', 'sex': 'female', 'class_study': 11, 'point_study': 7}
{'name': 'АгафонАлександр10', 'sex': 'male', 'class_study': 10, 'point_study': 5}
{'name': 'АкулинаАрхип12', 'sex': 'male', 'class_study': 10, 'point_study': 4}
{'name': 'АнастасияАделина2', 'sex': 'male', 'class_study': 11, 'point_study': 7}
{'name': 'АртурАмелия12', 'sex': 'male', 'class_study': 10, 'point_study': 7}
{'name': 'АллаАрсен8', 'sex': 'male', 'class_study': 10, 'point_study': 9}
{'name': 'АльфияАнтон7', 'sex': 'male', 'class_study': 11, 'point_study': 9}
{'name': 'АнжеликаАндрей4', 'sex': 'male', 'class_study': 11, 'point_study': 9}
{'name': 'АрсенийАнатолий10', 'sex': 'male', 'class_study': 11, 'point_study': 8}
{'name': 'АльфредАполлон6', 'sex': 'female', 'class_study': 10, 'point_study': 9}
{'name': 'АвгустинАвраам9', 'sex': 'female', 'class_study': 11, 'point_study': 7}
{'name': 'АмелияАся10', 'sex': 'male', 'class_study': 11, 'point_study': 8}
{'name': 'АллаАндрей4', 'sex': 'female', 'class_study': 11, 'point_study': 6}
{'name': 'АдонисАндрей11', 'sex': 'male', 'class_study': 10, 'point_study': 8}
{'name': 'АгатаАнтон9', 'sex': 'female', 'class_study': 11, 'point_study': 7}
{'name': 'АльфредАрсен4', 'sex': 'male', 'class_study': 11, 'point_study': 9}
{'name': 'АндрейАнгелина1', 'sex': 'male', 'class_study': 10, 'point_study': 9}
{'name': 'АгнияАльфред11', 'sex': 'male', 'class_study': 10, 'point_study': 9}
{'name': 'АллаАлла9', 'sex': 'male', 'class_study': 10, 'point_study': 6}
{'name': 'АмалияАркадий1', 'sex': 'male', 'class_study': 10, 'point_study': 8}
{'name': 'АлександрАнфиса9', 'sex': 'female', 'class_study': 10, 'point_study': 7}
{'name': 'АртемийАвгустин11', 'sex': 'female', 'class_study': 10, 'point_study': 8}
{'name': 'АгатаАриадна2', 'sex': 'male', 'class_study': 11, 'point_study': 6}
{'name': 'АнтонинаАся10', 'sex': 'female', 'class_study': 10, 'point_study': 9}
{'name': 'АкулинаАлексей7', 'sex': 'female', 'class_study': 10, 'point_study': 9}
{'name': 'АлисаАкайо4', 'sex': 'female', 'class_study': 11, 'point_study': 8}
{'name': 'АнгелинаАда10', 'sex': 'male', 'class_study': 11, 'point_study': 8}
{'name': 'АлександраАнисий7', 'sex': 'female', 'class_study': 11, 'point_study': 3}
{'name': 'АлександрАвгуст1', 'sex': 'female', 'class_study': 10, 'point_study': 6}
{'name': 'АннаАмалия6', 'sex': 'female', 'class_study': 11, 'point_study': 6}
{'name': 'АртемийАристарх10', 'sex': 'male', 'class_study': 10, 'point_study': 10}
{'name': 'АвраамАртур13', 'sex': 'male', 'class_study': 10, 'point_study': 5}
{'name': 'АннаАгнесса6', 'sex': 'female', 'class_study': 10, 'point_study': 7}
{'name': 'АгнияАрсений10', 'sex': 'male', 'class_study': 10, 'point_study': 5}
{'name': 'АнастасийАнисий2', 'sex': 'female', 'class_study': 11, 'point_study': 7}
{'name': 'АполлонАдонис7', 'sex': 'female', 'class_study': 11, 'point_study': 6}
{'name': 'АндрейАделаида13', 'sex': 'female', 'class_study': 10, 'point_study': 9}
{'name': 'АркадийАлина7', 'sex': 'male', 'class_study': 11, 'point_study': 4}
{'name': 'АртурАртемий2', 'sex': 'male', 'class_study': 10, 'point_study': 4}
{'name': 'АнтонинаАврора6', 'sex': 'female', 'class_study': 11, 'point_study': 4}
{'name': 'АсяАделина4', 'sex': 'female', 'class_study': 10, 'point_study': 7}
{'name': 'АртемАнтонина3', 'sex': 'female', 'class_study': 10, 'point_study': 4}
{'name': 'АгатаАгафон5', 'sex': 'male', 'class_study': 11, 'point_study': 6}
{'name': 'АнтонинаАлександр8', 'sex': 'male', 'class_study': 11, 'point_study': 8}
{'name': 'АлексейАльфред5', 'sex': 'male', 'class_study': 10, 'point_study': 5}
{'name': 'АндрейАндрей1', 'sex': 'male', 'class_study': 10, 'point_study': 7}
{'name': 'АнгелинаАгата10', 'sex': 'female', 'class_study': 10, 'point_study': 8}
{'name': 'АрхипАлиса10', 'sex': 'male', 'class_study': 11, 'point_study': 3}
{'name': 'АгнессаАнисий13', 'sex': 'male', 'class_study': 10, 'point_study': 7}
{'name': 'АртемАнатолий3', 'sex': 'female', 'class_study': 11, 'point_study': 9}
{'name': 'АсяАристарх8', 'sex': 'male', 'class_study': 10, 'point_study': 8}
{'name': 'АмелияАгата1', 'sex': 'female', 'class_study': 11, 'point_study': 8}
{'name': 'АлсуАлина9', 'sex': 'male', 'class_study': 10, 'point_study': 9}
{'name': 'АлинаАлександра3', 'sex': 'female', 'class_study': 11, 'point_study': 8}
{'name': 'АгафонАгата6', 'sex': 'female', 'class_study': 10, 'point_study': 9}
{'name': 'АделинаАлександра6', 'sex': 'female', 'class_study': 11, 'point_study': 3}
{'name': 'АнастасийАнгелина6', 'sex': 'male', 'class_study': 10, 'point_study': 8}
{'name': 'АдаАлина10', 'sex': 'female', 'class_study': 11, 'point_study': 9}
{'name': 'АделаидаАриадна10', 'sex': 'male', 'class_study': 11, 'point_study': 6}
{'name': 'АлександрАнисий5', 'sex': 'male', 'class_study': 11, 'point_study': 8}
{'name': 'АгафонАвраам13', 'sex': 'female', 'class_study': 11, 'point_study': 10}
{'name': 'АллаАгафон5', 'sex': 'male', 'class_study': 11, 'point_study': 6}
{'name': 'АмелияАнжела6', 'sex': 'male', 'class_study': 11, 'point_study': 9}
{'name': 'АвгустинАрсений3', 'sex': 'male', 'class_study': 11, 'point_study': 8}
{'name': 'АврораАнжелика5', 'sex': 'male', 'class_study': 10, 'point_study': 5}
{'name': 'АнжелаАделаида8', 'sex': 'female', 'class_study': 10, 'point_study': 7}
{'name': 'АвгустинАгата1', 'sex': 'male', 'class_study': 11, 'point_study': 9}
{'name': 'АндрейАгнесса9', 'sex': 'male', 'class_study': 11, 'point_study': 9}
{'name': 'АланАнфиса5', 'sex': 'female', 'class_study': 11, 'point_study': 8}
{'name': 'АгафонАделина8', 'sex': 'male', 'class_study': 11, 'point_study': 8}
{'name': 'АльбертАндрей3', 'sex': 'female', 'class_study': 10, 'point_study': 9}
{'name': 'АнгелинаАлександр12', 'sex': 'female', 'class_study': 11, 'point_study': 6}
{'name': 'АвгустАльфия8', 'sex': 'male', 'class_study': 11, 'point_study': 5}
{'name': 'АделинаАкайо5', 'sex': 'female', 'class_study': 10, 'point_study': 8}
{'name': 'АльфредАртем3', 'sex': 'male', 'class_study': 11, 'point_study': 7}
{'name': 'АрсенийАлина3', 'sex': 'male', 'class_study': 11, 'point_study': 8}
{'name': 'АльфияАлександр5', 'sex': 'female', 'class_study': 10, 'point_study': 7}
{'name': 'АринаАртем2', 'sex': 'male', 'class_study': 11, 'point_study': 8}
{'name': 'АльфияАльберт7', 'sex': 'female', 'class_study': 10, 'point_study': 7}
{'name': 'АнжелаАнфиса6', 'sex': 'female', 'class_study': 11, 'point_study': 9}
{'name': 'АделаидаАльфред7', 'sex': 'female', 'class_study': 10, 'point_study': 7}
{'name': 'АнжеликаАлексей5', 'sex': 'male', 'class_study': 10, 'point_study': 9}
{'name': 'АделаидаАристарх6', 'sex': 'male', 'class_study': 10, 'point_study': 9}
{'name': 'АсяАнисий7', 'sex': 'female', 'class_study': 10, 'point_study': 7}
{'name': 'АрсенийАнжела5', 'sex': 'male', 'class_study': 10, 'point_study': 8}
{'name': 'АльбертАрина3', 'sex': 'male', 'class_study': 11, 'point_study': 9}
{'name': 'АнастасияАлина10', 'sex': 'female', 'class_study': 10, 'point_study': 6}
{'name': 'АнастасийАврора3', 'sex': 'female', 'class_study': 10, 'point_study': 5}
{'name': 'АлинаАполлинарий7', 'sex': 'female', 'class_study': 10, 'point_study': 6}
{'name': 'АртемАлла9', 'sex': 'female', 'class_study': 11, 'point_study': 6}
{'name': 'АвраамАмелия2', 'sex': 'male', 'class_study': 10, 'point_study': 9}
{'name': 'АлександраАгнесса4', 'sex': 'female', 'class_study': 10, 'point_study': 7}
{'name': 'АлександраАнтонина2', 'sex': 'female', 'class_study': 10, 'point_study': 8}
{'name': 'АполлинарийАнжела1', 'sex': 'male', 'class_study': 10, 'point_study': 9}
{'name': 'АдаАлан5', 'sex': 'male', 'class_study': 10, 'point_study': 6}
{'name': 'АлександраАгния1', 'sex': 'male', 'class_study': 11, 'point_study': 7}
{'name': 'АнгелинаАнтон8', 'sex': 'male', 'class_study': 11, 'point_study': 6}
{'name': 'АнжелаАлиса5', 'sex': 'female', 'class_study': 11, 'point_study': 6}
{'name': 'АгнессаАлена4', 'sex': 'male', 'class_study': 10, 'point_study': 8}
{'name': 'АннаАлевтина7', 'sex': 'male', 'class_study': 11, 'point_study': 10}
{'name': 'АвгустинАлла2', 'sex': 'female', 'class_study': 10, 'point_study': 5}
{'name': 'АнатолийАгнесса4', 'sex': 'female', 'class_study': 10, 'point_study': 7}
{'name': 'АгнияАнастасий12', 'sex': 'female', 'class_study': 11, 'point_study': 7}
{'name': 'АделаидаАркадий9', 'sex': 'male', 'class_study': 11, 'point_study': 9}
{'name': 'АлевтинаАльберт8', 'sex': 'female', 'class_study': 11, 'point_study': 8}
{'name': 'АдаАлла2', 'sex': 'male', 'class_study': 10, 'point_study': 8}
{'name': 'АрсенАся6', 'sex': 'male', 'class_study': 10, 'point_study': 5}
{'name': 'АполлонАлина2', 'sex': 'male', 'class_study': 10, 'point_study': 5}
{'name': 'АльфияАлексей1', 'sex': 'male', 'class_study': 11, 'point_study': 6}
{'name': 'АринаАльфред1', 'sex': 'female', 'class_study': 11, 'point_study': 9}
{'name': 'АвраамАнтонина6', 'sex': 'female', 'class_study': 10, 'point_study': 7}
{'name': 'АврораАлевтина7', 'sex': 'female', 'class_study': 10, 'point_study': 7}
{'name': 'АлинаАгния4', 'sex': 'female', 'class_study': 11, 'point_study': 9}
{'name': 'АристархАвраам4', 'sex': 'female', 'class_study': 11, 'point_study': 8}
{'name': 'АвраамАкулина11', 'sex': 'female', 'class_study': 10, 'point_study': 7}
{'name': 'АльбинаАполлон7', 'sex': 'female', 'class_study': 11, 'point_study': 6}
{'name': 'АлександрАндрей9', 'sex': 'male', 'class_study': 10, 'point_study': 9}
{'name': 'АнгелинаАда13', 'sex': 'male', 'class_study': 11, 'point_study': 7}
{'name': 'АльбертАлексей6', 'sex': 'male', 'class_study': 11, 'point_study': 7}
{'name': 'АртемийАлина4', 'sex': 'male', 'class_study': 10, 'point_study': 6}
{'name': 'АленаАрсен1', 'sex': 'female', 'class_study': 11, 'point_study': 7}
{'name': 'АнисийАлан6', 'sex': 'female', 'class_study': 11, 'point_study': 8}
{'name': 'АнгелинаАлсу3', 'sex': 'female', 'class_study': 11, 'point_study': 6}
{'name': 'АврораАнжела6', 'sex': 'female', 'class_study': 11, 'point_study': 6}
{'name': 'АльбертАрина1', 'sex': 'male', 'class_study': 11, 'point_study': 4}
{'name': 'АртурАлександр4', 'sex': 'male', 'class_study': 11, 'point_study': 9}
{'name': 'АврораАртем10', 'sex': 'female', 'class_study': 11, 'point_study': 8}
{'name': 'АлсуАся10', 'sex': 'male', 'class_study': 11, 'point_study': 6}
{'name': 'АлисаАлексей11', 'sex': 'male', 'class_study': 10, 'point_study': 5}
{'name': 'АристархАрина13', 'sex': 'male', 'class_study': 11, 'point_study': 8}
{'name': 'АдаАрхип6', 'sex': 'male', 'class_study': 11, 'point_study': 8}
{'name': 'АркадийАльфия12', 'sex': 'male', 'class_study': 10, 'point_study': 10}
{'name': 'АвгустАлсу4', 'sex': 'female', 'class_study': 10, 'point_study': 8}
{'name': 'АсяАльберт5', 'sex': 'female', 'class_study': 11, 'point_study': 3}
{'name': 'АврораАлевтина3', 'sex': 'female', 'class_study': 10, 'point_study': 9}
{'name': 'АркадийАлександр1', 'sex': 'male', 'class_study': 11, 'point_study': 7}
{'name': 'АртемАмалия12', 'sex': 'female', 'class_study': 10, 'point_study': 10}
{'name': 'АдаАвгустин10', 'sex': 'male', 'class_study': 10, 'point_study': 10}
{'name': 'АртемАриадна7', 'sex': 'female', 'class_study': 11, 'point_study': 8}
{'name': 'АриаднаАндрей12', 'sex': 'female', 'class_study': 10, 'point_study': 8}
{'name': 'АланАнна7', 'sex': 'female', 'class_study': 10, 'point_study': 8}
{'name': 'АлександрАльфия8', 'sex': 'female', 'class_study': 10, 'point_study': 6}
{'name': 'АгатаАлсу13', 'sex': 'female', 'class_study': 10, 'point_study': 6}
{'name': 'АнжеликаАлевтина9', 'sex': 'female', 'class_study': 10, 'point_study': 6}
{'name': 'АльбертАльфия5', 'sex': 'male', 'class_study': 10, 'point_study': 8}
{'name': 'АлександрАртем8', 'sex': 'male', 'class_study': 11, 'point_study': 8}
{'name': 'АльбинаАгата4', 'sex': 'female', 'class_study': 10, 'point_study': 4}
{'name': 'АгнессаАся8', 'sex': 'female', 'class_study': 10, 'point_study': 7}
{'name': 'АрсенийАлла11', 'sex': 'male', 'class_study': 11, 'point_study': 6}
{'name': 'АркадийАрсений10', 'sex': 'female', 'class_study': 10, 'point_study': 6}
{'name': 'АланАнатолий6', 'sex': 'female', 'class_study': 10, 'point_study': 8}
{'name': 'АлевтинаАполлинарий9', 'sex': 'male', 'class_study': 10, 'point_study': 8}
{'name': 'АлсуАврора5', 'sex': 'male', 'class_study': 10, 'point_study': 5}
{'name': 'АристархАлиса11', 'sex': 'female', 'class_study': 11, 'point_study': 7}
{'name': 'АдонисАнна3', 'sex': 'male', 'class_study': 10, 'point_study': 7}
{'name': 'АвгустинАмелия10', 'sex': 'male', 'class_study': 10, 'point_study': 5}
{'name': 'АнатолийАлиса8', 'sex': 'female', 'class_study': 11, 'point_study': 5}
{'name': 'АвгустинАся10', 'sex': 'female', 'class_study': 10, 'point_study': 7}
{'name': 'АвгустинАнгелина10', 'sex': 'female', 'class_study': 11, 'point_study': 10}
{'name': 'АполлинарийАмалия13', 'sex': 'female', 'class_study': 11, 'point_study': 8}
{'name': 'АмелияАлевтина13', 'sex': 'male', 'class_study': 10, 'point_study': 7}
{'name': 'АнастасийАлсу13', 'sex': 'female', 'class_study': 11, 'point_study': 9}
{'name': 'АлисаАделаида13', 'sex': 'female', 'class_study': 11, 'point_study': 5}
{'name': 'АполлинарийАлексей3', 'sex': 'male', 'class_study': 10, 'point_study': 7}
{'name': 'АльбертАлександра12', 'sex': 'male', 'class_study': 11, 'point_study': 5}
{'name': 'АлисаАкулина12', 'sex': 'female', 'class_study': 10, 'point_study': 8}
